# Dataset title: Dataset Abitudini Sportive
# Numero di campioni: 1000
# Bias: 0.54
# Bilanciamento: 49.10%
# Colonna 'ore_settimanali_allenamento': 58 valori NaN
# Colonna 'frequenza_allenamento': 46 valori NaN
# Colonna 'tipo_sport_praticato': 64 occorrenze di -999
# Colonna 'soddisfazione_allenamento': 58 occorrenze di -999
# Colonna 'attrezzatura_comprata_annualmente': 59 occorrenze di -999
# Colonna 'obiettivo_allenamento_label': 59 occorrenze di ***
# Colonna 'obiettivo_allenamento': 48 occorrenze di -999
# Colonna 'frequenza_infortuni_label': 48 occorrenze di ***
# Colonna 'frequenza_infortuni': 42 occorrenze di -999
# Colonna 'alimentazione_durante_allenamento_label': 68 occorrenze di ***
# Colonna 'alimentazione_durante_allenamento': 68 occorrenze di -999
# Colonna 'tempo_riposo_settimanale_label': 36 occorrenze di ***
# Colonna 'tempo_riposo_settimanale': 36 occorrenze di -999
# Colonna 'Y': 64 occorrenze di -999
ore_settimanali_allenamento,frequenza_allenamento,tipo_sport_praticato,soddisfazione_allenamento,attrezzatura_comprata_annualmente,obiettivo_allenamento_label,obiettivo_allenamento,frequenza_infortuni_label,frequenza_infortuni,alimentazione_durante_allenamento_label,alimentazione_durante_allenamento,tempo_riposo_settimanale_label,tempo_riposo_settimanale,Y
7.01,3.84,2,3,1,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Bassa,2,0
,2.75,2,2,1,Miglioramento muscolare,1,Raramente,1,Proteica,1,Alta,0,1
7.33,,1,2,1,Miglioramento muscolare,1,Raramente,1,***,1,Media,1,1
3.42,3.45,1,2,1,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
8.62,3.27,3,4,1,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
5.18,,1,2,2,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
5.66,3.28,1,2,2,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
6.43,3.78,2,2,0,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Media,1,1
6.42,3.61,2,2,3,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
6.79,3.91,2,-999,-999,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
6.16,3.78,1,2,4,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
7.97,4.74,3,2,1,Miglioramento muscolare,1,***,1,Carboidrati,2,Bassa,2,0
11.83,6.42,4,3,5,Altro,3,Sempre,3,Altro,3,Bassa,2,0
5.92,3.43,1,2,2,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
4.71,3.06,1,1,2,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
8.14,4.27,3,2,3,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Bassa,2,0
,4.82,2,3,6,Miglioramento muscolare,1,***,2,Proteica,1,Bassa,2,1
9.99,4.19,3,3,0,Altro,3,Raramente,1,Proteica,1,Alta,0,0
10.61,4.35,4,4,2,***,-999,***,1,Carboidrati,2,Media,1,0
5.84,2.97,1,2,1,Miglioramento muscolare,1,Mai,0,Equilibrata,0,Media,1,1
7.27,4.57,2,-999,-999,Miglioramento muscolare,1,Spesso,2,Proteica,1,Media,1,0
6.16,4.35,1,2,3,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
,4.35,2,3,1,Miglioramento muscolare,1,Mai,0,Equilibrata,0,Alta,0,0
8.1,4.26,4,-999,-999,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
,2.64,1,2,3,Perdita peso,0,Raramente,1,Proteica,-999,***,1,1
6.56,3.85,3,2,4,Miglioramento muscolare,1,Raramente,1,Proteica,1,Bassa,2,1
6.87,3.46,1,2,0,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Alta,0,1
8.99,4.65,4,4,1,Altro,3,***,2,Carboidrati,2,Bassa,2,0
,3.86,1,1,5,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
7.76,3.55,1,2,1,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
5.37,2.91,1,2,1,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
3.7,1.67,1,1,3,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
5.68,2.88,2,3,2,Allenamento cardiovascolare,2,Raramente,1,Equilibrata,0,Bassa,2,0
9.46,5.32,4,4,1,Allenamento cardiovascolare,2,Spesso,-999,***,2,Bassa,2,0
7.38,3.72,1,1,2,Perdita peso,0,***,0,Equilibrata,0,Alta,0,1
7.29,4.27,3,3,4,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
6.79,3.44,-999,3,4,Allenamento cardiovascolare,2,Spesso,2,Equilibrata,0,Media,1,1
5.65,3.06,2,3,1,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,1
6.43,4.29,2,2,0,Miglioramento muscolare,1,Raramente,1,Proteica,1,Bassa,2,1
4.48,2.76,1,1,5,Perdita peso,0,Mai,0,Equilibrata,-999,***,0,1
,4.8,4,4,4,Altro,3,***,2,Altro,3,Media,1,0
4.68,3.29,2,-999,-999,Allenamento cardiovascolare,2,Sempre,3,Proteica,1,Media,-999,-999
8.15,5.24,3,4,4,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,0
12.07,5.72,4,4,3,Altro,3,Spesso,2,Altro,3,Bassa,2,0
10.18,5.16,3,4,0,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
12.24,6.04,3,4,0,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
5.55,3.26,2,2,4,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
4.51,2.21,2,3,1,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
9.38,4.67,3,4,4,Allenamento cardiovascolare,2,Sempre,3,***,1,Bassa,2,0
5.95,2.31,1,1,2,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
9.95,5.23,4,2,2,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Bassa,2,0
6.51,3.48,3,2,5,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Media,1,0
11.44,5.09,4,4,2,Altro,3,Spesso,-999,***,3,Bassa,2,0
7.52,4.31,2,2,5,Perdita peso,0,Mai,0,Proteica,1,Bassa,2,1
12.5,6.08,3,4,3,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
5.85,4.05,3,3,3,Miglioramento muscolare,1,Spesso,2,Proteica,1,Bassa,2,0
7.12,3.76,2,-999,-999,Miglioramento muscolare,1,Raramente,1,Proteica,1,Media,-999,-999
4.4,2.35,1,2,1,Perdita peso,0,***,1,Proteica,1,Media,1,1
10.09,5.36,3,3,2,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
5.0,3.11,2,-999,-999,Perdita peso,0,Raramente,1,Proteica,1,Alta,0,1
6.28,2.83,2,2,2,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Media,1,1
,4.52,2,3,4,Allenamento cardiovascolare,2,Sempre,3,Proteica,1,Media,1,1
11.56,5.09,4,4,3,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
8.16,5.47,-999,3,8,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,1
7.94,,2,3,5,Miglioramento muscolare,1,Spesso,2,Equilibrata,0,Media,1,0
7.31,3.46,3,2,0,Perdita peso,0,Mai,0,Proteica,1,Bassa,2,1
5.73,2.87,1,2,2,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,-999
5.8,4.19,1,2,2,Allenamento cardiovascolare,2,Spesso,2,***,0,Alta,0,1
5.93,3.25,1,2,2,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Media,1,1
4.76,3.01,2,1,2,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
5.72,2.89,2,3,3,Perdita peso,0,Raramente,1,Equilibrata,0,Alta,0,1
8.73,4.09,3,3,9,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Bassa,2,1
6.48,3.0,1,2,1,Miglioramento muscolare,1,Raramente,1,Proteica,1,Media,1,1
11.37,5.22,4,4,1,Altro,3,Spesso,2,Altro,3,Bassa,2,0
3.11,2.32,1,2,2,Perdita peso,0,Mai,0,Proteica,-999,Alta,0,1
5.02,2.23,-999,1,2,Miglioramento muscolare,1,Mai,0,Proteica,1,Media,1,1
6.47,4.37,2,-999,-999,Perdita peso,0,Mai,0,***,0,Bassa,2,0
9.91,4.5,3,3,6,Altro,3,Spesso,2,Altro,3,Bassa,2,0
4.71,2.98,1,2,2,Perdita peso,0,Raramente,1,Equilibrata,0,Media,1,1
5.4,3.54,1,2,3,Perdita peso,0,Mai,0,Proteica,1,Media,1,1
,3.85,2,4,4,Altro,3,Spesso,2,Equilibrata,0,Media,-999,-999
,4.94,3,4,5,Altro,3,Raramente,1,Carboidrati,2,Media,1,0
3.86,,1,1,5,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
5.74,4.15,2,1,3,Perdita peso,0,Mai,0,Proteica,1,Media,1,1
10.47,4.66,4,3,0,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Bassa,2,0
8.31,4.29,-999,4,5,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Media,1,0
7.15,3.91,1,-999,-999,***,-999,Mai,0,Proteica,1,Alta,0,1
4.58,2.98,1,-999,-999,***,-999,Mai,0,Equilibrata,0,Media,1,1
2.38,2.32,1,2,1,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
,4.37,3,4,3,Altro,3,Spesso,2,Carboidrati,-999,***,2,0
8.15,3.52,3,4,2,Altro,3,Spesso,-999,***,2,Bassa,2,0
5.3,2.62,2,1,0,Miglioramento muscolare,1,Raramente,1,Proteica,1,Alta,0,1
5.75,4.2,1,2,1,Perdita peso,0,Spesso,2,Proteica,1,Alta,0,1
8.36,4.8,3,3,0,Allenamento cardiovascolare,2,Raramente,1,Proteica,-999,***,2,0
5.23,3.19,1,2,0,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,-999
6.68,4.16,2,3,1,Perdita peso,0,Raramente,1,Proteica,1,Alta,0,1
,3.05,1,2,1,Perdita peso,0,Mai,0,Proteica,1,Alta,0,1
5.92,3.62,2,3,0,Perdita peso,0,Spesso,2,Proteica,1,Media,1,1
8.41,3.85,2,4,1,Altro,3,Spesso,2,Proteica,1,Alta,0,0
9.2,4.54,3,4,5,Altro,3,Spesso,2,Altro,3,Bassa,2,0
,4.67,3,4,4,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
3.14,1.96,1,1,7,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
10.46,5.4,4,4,0,Allenamento cardiovascolare,2,Sempre,3,Carboidrati,2,Media,1,0
,3.63,1,4,1,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Alta,0,0
8.56,4.58,3,3,5,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Bassa,2,0
5.94,3.69,1,2,2,Perdita peso,0,Raramente,1,Equilibrata,0,Alta,0,1
10.46,,3,4,3,Altro,3,Sempre,-999,***,2,Bassa,2,0
,4.55,3,3,2,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,0
7.16,4.45,3,3,2,Altro,3,Spesso,2,Proteica,1,Media,1,0
7.25,4.02,2,-999,-999,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,1
7.86,4.12,2,3,3,Allenamento cardiovascolare,2,Spesso,2,Equilibrata,0,Media,1,0
4.07,2.8,2,1,1,Perdita peso,0,Raramente,1,Equilibrata,0,Media,1,1
6.34,3.08,1,2,4,Miglioramento muscolare,1,Raramente,1,Proteica,1,Media,-999,-999
6.34,3.88,1,2,1,Perdita peso,0,***,0,Equilibrata,0,Media,1,1
4.06,2.76,1,2,4,Perdita peso,0,Mai,0,***,0,Alta,0,1
7.25,4.19,2,2,1,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Media,1,1
10.13,5.24,3,4,1,Altro,3,***,-999,***,3,Bassa,2,0
7.44,3.16,4,2,1,Miglioramento muscolare,1,Raramente,1,Altro,3,Bassa,2,1
9.05,4.89,3,4,4,Allenamento cardiovascolare,2,***,3,Carboidrati,-999,***,1,0
7.76,4.79,3,3,0,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
5.44,3.04,1,4,1,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
6.75,3.92,1,2,1,Perdita peso,0,Raramente,1,***,1,Media,1,1
8.44,4.62,3,-999,-999,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
11.11,5.2,4,3,3,Altro,3,***,3,Altro,3,Bassa,2,0
6.44,3.17,3,2,1,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Bassa,2,1
8.14,3.09,2,3,1,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,1
10.88,5.76,4,4,1,Allenamento cardiovascolare,2,Sempre,3,Altro,3,Bassa,2,0
8.81,5.03,-999,3,4,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Bassa,2,0
5.29,3.13,1,1,0,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
12.08,4.72,-999,4,5,***,2,Spesso,2,Carboidrati,-999,***,1,0
5.51,3.15,1,2,4,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
6.9,3.88,2,1,0,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
12.42,5.77,3,4,3,Altro,3,Spesso,2,***,2,Bassa,2,0
4.24,3.21,1,2,4,Perdita peso,0,Raramente,1,Equilibrata,0,Alta,0,1
5.68,3.72,1,1,4,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
6.66,3.86,1,2,2,Miglioramento muscolare,1,Raramente,1,Proteica,1,Alta,0,1
3.08,2.04,1,-999,-999,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
2.85,1.99,1,1,2,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
7.34,3.85,3,3,3,Allenamento cardiovascolare,2,Spesso,-999,***,-999,Media,1,0
4.88,1.71,2,2,1,***,-999,Mai,0,Equilibrata,0,Alta,0,1
2.52,2.61,1,1,0,Perdita peso,0,Raramente,1,Equilibrata,0,Alta,0,1
5.34,3.52,3,3,1,Allenamento cardiovascolare,2,Sempre,3,Carboidrati,2,Media,1,1
7.26,3.22,3,3,1,Allenamento cardiovascolare,2,Sempre,-999,***,3,Media,1,0
9.26,4.45,3,4,1,Altro,3,Spesso,2,Altro,3,Alta,0,0
4.3,2.41,1,1,5,Perdita peso,0,Mai,0,Equilibrata,0,Bassa,2,1
6.25,4.15,2,3,2,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
3.69,2.86,2,1,2,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
12.09,6.15,4,4,3,Altro,3,Spesso,2,Carboidrati,-999,Bassa,2,0
9.82,5.01,2,3,0,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Alta,0,0
5.3,1.98,2,2,2,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Media,1,1
7.95,3.47,4,4,2,Altro,3,Sempre,3,Carboidrati,2,Bassa,-999,-999
9.18,,4,4,0,Altro,3,Sempre,3,Altro,3,Bassa,2,0
6.03,3.67,-999,2,7,Perdita peso,0,Raramente,1,Proteica,1,Bassa,2,1
6.35,2.56,1,2,4,Miglioramento muscolare,1,Raramente,1,Proteica,-999,***,1,1
8.88,3.41,2,3,2,Allenamento cardiovascolare,2,Mai,0,Proteica,1,Media,1,0
6.03,2.84,2,3,0,Perdita peso,0,Raramente,1,Proteica,1,Bassa,2,1
7.51,3.43,4,4,3,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
8.05,3.09,3,4,4,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
7.49,4.21,2,1,6,Miglioramento muscolare,1,Raramente,1,Proteica,1,Bassa,2,1
4.65,3.47,1,1,1,Miglioramento muscolare,1,Raramente,1,Proteica,1,Media,1,1
,5.23,4,4,3,Altro,3,Spesso,2,Altro,3,Media,1,0
7.05,4.02,-999,2,1,Perdita peso,0,***,0,Equilibrata,0,Alta,0,1
9.72,5.19,-999,4,5,Altro,3,***,3,Altro,3,Bassa,2,0
8.38,4.9,3,-999,-999,Miglioramento muscolare,1,Raramente,1,Proteica,1,Media,1,0
5.09,2.6,2,1,2,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Media,1,1
6.61,4.67,1,2,2,Perdita peso,0,Raramente,1,Proteica,1,Alta,-999,-999
7.15,2.74,1,2,6,Miglioramento muscolare,1,Mai,0,Equilibrata,0,Alta,0,1
6.8,3.57,3,3,4,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Bassa,2,0
6.47,2.26,-999,2,0,Miglioramento muscolare,1,Mai,0,Proteica,1,Bassa,2,1
4.38,2.0,1,2,0,Miglioramento muscolare,1,Mai,0,Proteica,1,Media,1,1
4.36,2.34,1,2,1,Perdita peso,0,Raramente,1,Equilibrata,0,Alta,0,1
9.86,4.75,3,-999,-999,Altro,3,Sempre,3,Altro,3,Bassa,2,-999
,2.2,1,2,5,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
3.09,1.4,1,2,2,Perdita peso,0,Raramente,1,Proteica,1,Alta,-999,-999
7.31,3.77,3,3,2,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Media,1,0
4.99,3.6,1,1,1,Perdita peso,0,Mai,0,Equilibrata,-999,***,0,1
9.18,5.2,2,-999,-999,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Media,1,0
6.34,4.19,2,1,2,***,-999,Mai,0,Equilibrata,0,Media,1,1
8.4,4.52,3,4,1,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,0
5.15,3.75,2,1,5,***,0,Mai,0,Equilibrata,0,Alta,0,1
10.28,4.15,4,4,4,Allenamento cardiovascolare,2,Sempre,3,Carboidrati,2,Media,1,0
6.57,4.45,1,3,2,***,1,Spesso,-999,***,0,Media,1,1
5.53,3.18,1,3,3,Perdita peso,0,Raramente,1,Equilibrata,0,Alta,0,1
9.11,5.52,3,2,0,Perdita peso,0,Mai,0,Carboidrati,2,Media,1,1
,4.69,3,3,1,Altro,3,Raramente,1,Carboidrati,2,Media,1,-999
8.37,4.07,3,4,0,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Bassa,2,0
10.73,5.37,4,4,1,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
6.82,3.47,3,4,4,Altro,3,Spesso,-999,***,2,Alta,0,0
4.22,3.55,1,1,2,Perdita peso,0,Raramente,1,***,1,Alta,0,1
6.08,4.73,2,2,0,Perdita peso,0,Spesso,2,Equilibrata,-999,Bassa,2,1
6.35,3.57,2,4,5,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Media,1,0
4.43,3.18,1,1,4,Perdita peso,0,Mai,0,Proteica,1,Alta,0,1
12.49,6.93,4,4,7,Altro,3,Spesso,2,Altro,3,Bassa,2,0
9.18,,3,4,4,Altro,3,Spesso,2,Carboidrati,2,Alta,0,0
4.14,,1,2,2,Perdita peso,0,Raramente,1,Proteica,1,Alta,0,1
7.0,3.33,1,2,3,Miglioramento muscolare,1,Mai,0,Equilibrata,0,Media,1,1
6.56,4.31,2,3,0,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,0
12.76,6.44,3,-999,-999,Altro,3,Spesso,2,Altro,3,Bassa,2,0
7.05,3.09,2,3,0,Allenamento cardiovascolare,2,Raramente,1,Proteica,-999,Alta,0,1
7.51,4.97,2,1,5,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
7.87,3.6,3,3,2,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
6.17,3.75,2,-999,-999,Perdita peso,0,Raramente,1,Equilibrata,0,Media,1,1
6.94,3.71,2,-999,-999,Miglioramento muscolare,1,***,-999,***,1,Bassa,2,1
,1.86,2,1,5,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
8.7,4.4,3,3,5,Allenamento cardiovascolare,2,Sempre,3,Altro,3,Bassa,2,0
9.41,4.49,-999,4,4,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Alta,0,0
7.83,3.86,5,4,8,Altro,3,Sempre,3,Carboidrati,2,Bassa,2,0
6.57,3.4,4,3,2,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
8.16,4.82,2,3,1,Miglioramento muscolare,1,Spesso,2,Proteica,1,Media,1,1
6.5,,2,-999,-999,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Bassa,2,1
8.22,4.54,-999,4,1,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Media,1,0
5.75,4.25,2,2,1,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
4.56,3.5,1,2,0,Perdita peso,0,Raramente,1,Equilibrata,0,Media,1,1
7.07,4.01,4,2,0,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Media,1,0
8.82,5.32,4,2,1,Altro,3,Spesso,2,Altro,3,Bassa,2,0
9.47,,3,4,5,Altro,3,Spesso,2,Proteica,1,Media,1,0
7.86,3.23,2,3,1,Allenamento cardiovascolare,2,Mai,0,Proteica,1,Bassa,2,0
10.37,5.41,3,2,5,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Bassa,2,0
7.6,4.26,3,3,2,Allenamento cardiovascolare,2,Sempre,3,Altro,3,Media,1,0
,2.72,1,2,1,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
4.14,3.13,1,1,1,Perdita peso,0,Raramente,1,Equilibrata,0,Alta,0,1
8.17,5.39,3,2,3,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,0
6.79,,3,-999,-999,Altro,3,Sempre,3,Carboidrati,2,Media,1,0
9.49,3.46,3,4,4,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Bassa,2,0
8.42,5.29,4,4,4,***,-999,***,3,Altro,3,Bassa,2,0
8.87,4.54,3,3,2,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
6.46,3.35,2,4,0,***,2,Sempre,3,***,1,Media,1,-999
7.66,3.88,1,3,1,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Media,1,0
5.41,3.34,-999,2,1,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
9.08,4.27,4,4,4,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Bassa,2,0
9.99,5.97,3,4,4,Altro,3,Spesso,2,Altro,3,Media,1,0
6.63,2.5,3,2,0,Miglioramento muscolare,1,Mai,0,Carboidrati,2,Bassa,2,1
7.92,4.29,3,2,5,Miglioramento muscolare,1,Raramente,1,Proteica,1,Bassa,2,0
1.0,1.71,2,1,1,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
5.1,3.16,2,3,2,Miglioramento muscolare,1,Spesso,2,Carboidrati,-999,Alta,0,1
10.59,5.73,-999,3,0,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,-999,-999
5.67,3.56,2,2,4,Miglioramento muscolare,1,Raramente,1,Proteica,1,Media,1,1
5.3,3.24,2,2,1,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
5.09,3.16,2,2,4,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Bassa,2,1
,3.86,2,2,4,***,-999,Mai,0,Equilibrata,0,Alta,0,1
2.9,,-999,1,2,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
6.44,3.68,2,2,2,Miglioramento muscolare,1,Raramente,1,Proteica,1,Media,1,-999
,,4,4,1,Miglioramento muscolare,1,Spesso,2,Carboidrati,2,Media,1,0
6.5,3.88,1,3,3,Perdita peso,0,Raramente,1,Proteica,-999,***,0,1
10.17,5.27,3,3,6,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
,4.5,1,3,3,Perdita peso,0,Spesso,2,Proteica,-999,***,1,1
4.97,3.04,2,3,0,Miglioramento muscolare,1,Spesso,2,Proteica,1,Media,1,1
7.37,5.13,3,4,2,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Bassa,2,0
8.89,5.65,3,4,2,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,0
6.09,3.83,3,2,2,Perdita peso,0,Mai,0,Proteica,1,Media,1,1
2.91,2.31,1,1,3,Perdita peso,0,Mai,0,Equilibrata,-999,Alta,0,1
3.97,2.44,1,1,5,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
7.28,4.57,1,2,3,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Media,-999,-999
7.13,4.72,3,1,1,Miglioramento muscolare,1,Raramente,1,Proteica,1,Bassa,2,1
4.0,2.21,1,2,0,Perdita peso,0,Raramente,1,Equilibrata,-999,Alta,0,1
8.43,4.0,3,3,4,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
4.96,3.06,1,1,1,Perdita peso,0,Mai,0,Proteica,1,Alta,0,1
8.38,5.04,3,3,2,Miglioramento muscolare,1,Raramente,1,Carboidrati,-999,***,1,0
6.38,3.45,3,4,5,Allenamento cardiovascolare,2,Sempre,3,Carboidrati,2,Bassa,2,0
6.95,3.8,2,4,5,Miglioramento muscolare,1,***,2,Proteica,1,Alta,0,-999
8.69,4.87,2,-999,-999,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Media,1,-999
9.33,4.54,3,3,1,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Media,1,0
5.64,3.77,-999,3,0,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Alta,0,1
9.09,5.09,4,2,2,***,-999,Raramente,1,Carboidrati,2,Media,1,-999
4.59,1.91,2,2,2,Perdita peso,0,Mai,0,Carboidrati,2,Media,1,1
7.0,3.93,2,3,2,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,1
8.52,4.42,3,4,1,Allenamento cardiovascolare,2,***,2,Carboidrati,2,Bassa,2,0
9.77,5.55,3,4,1,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
11.72,5.65,4,4,1,Altro,3,Raramente,1,Altro,3,Bassa,2,0
12.39,6.84,3,4,5,Allenamento cardiovascolare,2,Sempre,3,Altro,3,Bassa,2,0
6.15,2.9,2,2,2,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
5.7,3.42,1,4,8,Miglioramento muscolare,1,Spesso,2,Proteica,1,Media,1,1
9.75,5.23,4,4,1,Altro,3,Spesso,2,Carboidrati,2,Media,1,-999
7.93,4.52,3,2,0,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
9.57,5.12,2,3,1,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Media,1,0
7.96,4.28,3,2,4,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
4.62,2.58,1,2,1,***,-999,Raramente,1,Equilibrata,0,Alta,0,1
7.68,2.88,3,2,8,Allenamento cardiovascolare,2,Mai,0,Carboidrati,2,Media,1,0
5.76,3.34,2,2,1,***,-999,Raramente,1,Proteica,-999,Media,1,1
4.22,4.3,1,2,4,Perdita peso,0,Mai,0,Proteica,1,Media,1,1
7.26,3.88,3,2,1,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Media,1,0
6.3,4.07,1,2,5,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
10.35,,3,3,4,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Bassa,2,0
7.98,4.56,2,3,0,Miglioramento muscolare,1,Spesso,2,Proteica,1,Bassa,2,0
